dataset_name,1/1/2017,2/1/2017,3/1/2017,4/1/2017,5/1/2017
Armenia - Population Statistics 2015,6,6,5,3,0
Pakistan - Population of Major Cities,17,24,15,14,1
Bangladesh - Settlements,0,24,31,28,0
Cameroon - Digital Elevation Model,5,13,32,13,0
Madagascar - Admin Level 2 Boundaries - mdg_polbnda_adm2_district_ndmo_ocha_metadata.txt,0,4,0,0,0
Syrian Arab Republic - Water Bodies,2,7,9,7,0
Kazakhstan - Population Statistics 2015,6,5,6,5,0
Central African Republic - Administrative Boundaries,31,32,40,54,1
Mongolia - Railroads,2,1,1,0,0
Chad - List of admin boundaries and populated places,0,0,0,15,0
State of Palestine  - Administrative Boundaries,0,0,0,40,1
Central African Republic - Water Bodies- Rivers ( Landsat satellite images (2002-2003),5,13,6,10,1
Dominican Republic - Admin Level 4 Boundaries,4,0,1,2,0
"Turkey - Administrative Boundaries (Levels 0, 1, 2)",0,30,59,33,0
Viet Nam - Airports and Airfields,0,2,2,3,0
Population and Housing Census of Myanmar 2014,29,28,23,18,4
Colombia - Admin Boundaries Lines,8,2,5,4,0
Uganda - Admin Level 6 Boundaries,37,39,38,15,0
Guinea-Bissau - Administrative Boundaries - Admin 2 Boundary,0,0,0,1,0
Niger - Administrative Boundaries - NER_Admin1.zip,1,0,1,0,0
Nigeria  Administrative Boundaries (levels 0 - 3),0,47,0,0,0
Bangladesh - Waterbodies,9,6,26,19,0
Senegal - Administrative Boundaries - Admin 2 Boundaries,0,1,0,0,0
Sri Lanka - Admin Level 3 Boundaries with Census 2012 (Polygon),5,5,9,6,0
"Colombia - Roads, Railways - transportation_network",0,0,2,0,0
South Sudan - Administrative Boundaries,122,240,253,245,5
Mongolia - Admin Level 1 Boundaries (Polygon &amp; Polyline) - Mongolia_admin_level_1_polygon.zip,1,0,0,0,0
Ethiopia - Administrative Boundaries(Level 0 - 3) - eth_admbnda_adm1_csa_20160121.zip,3,0,0,0,0
Sudan -  Airfields,0,8,6,5,0
"Syrian Arab Republic - Administrative Boundaries, Populated Places - syr_admin_160927_shp_utf8.zip",2,0,0,0,0
Nepal Population Statistics (Census 2011),18,31,41,54,2
Congo - Settlements,15,6,10,13,0
kenya-admin-level-3-wards,0,0,36,21,0
Namibia - Admin Level 1 Boundaries,1,3,4,4,0
Kenya - Railways Network,5,7,7,9,2
Mali Administrative Boundaries - mli_admnbnda_Adm3_Gov.zip,0,0,1,0,0
Nigeria - Independent National Electoral Commission - LGA and Wards,54,45,48,8,0
