,dataset_name,1/1/2017_x,2/1/2017_x,3/1/2017_x,4/1/2017_x,5/1/2017_x,1/1/2017_y,2/1/2017_y,3/1/2017_y,4/1/2017_y,5/1/2017_y,package_id,package_name,package_has_admin_boundary_tag,package_tag_list,package_has_cod_tag,package_author,package_caveats,package_dataset_date,package_total_res_downloads,package_methodology,package_title,package_creator,organisation_name,package_notes,package_num_resources,package_tracking_summary_total,package_dataset_source,package_locations_list
0,Armenia - Population Statistics 2015,1,1,3,2,0,6.0,6.0,5.0,3.0,0.0,c5dd0d76-cc9a-4601-ba6e-12626688956d,armenia-population-statistics-2015,False,"age ,cod ,demography ,female ,male ,population ,sadd ,statistics",True,,Population numbers were calculated based on Republic of Armenia's 2011 Population Census,01/01/2016,0.0,Other,Armenia - Population Statistics 2015,galiya,ocha-rocca,"This dataset contains population statistics for Armenia.  It has total population segregated by gender and age (yearly). The dataset on L0 and L1 levels and population numbers are as of 1 January 2015. 
",1.0,71.0,National Statistical Service of the Republic of Armenia (http://www.armstat.am/en/),Armenia
1,Pakistan - Population of Major Cities,1,7,8,4,0,17.0,24.0,15.0,14.0,1.0,f3895383-67ed-4a5d-beaa-b780d643c5df,pakistan-settlements,False,"cod ,nodeid4347 ,populated places ,settlements",True,None,"**Languages:** EN
",01/01/2010,7.0,Other,Pakistan - Population of Major Cities,hdx,ocha-pakistan,"Major Cities Population



",1.0,195.0,World Gazetteer,Pakistan
2,Bangladesh - Settlements,0,6,17,20,0,0.0,24.0,31.0,28.0,0.0,3af43b7a-c402-4f29-a023-15042b64cfb9,bangladesh-settlements-0,False,"cod ,geodata ,nodeid4312 ,points ,populated places ,settlements ,towns",True,None,"**Languages:** EN
",01/01/2013,29.0,Other,Bangladesh - Settlements,hdx,ocha-roap,Bangladesh Settlements and Major Towns. ,2.0,71.0,Global Map Initiative ,Bangladesh
3,Pakistan - Roads,5,10,13,11,0,7.0,11.0,22.0,14.0,0.0,06f8a9c2-9ad8-4b2b-a18c-318b9a89f839,pakistan-roads,False,"cod ,geodata ,infrastructure ,lines ,nodeid4154 ,transportation",True,None,"**Languages:** EN
",01/01/2011,77.0,Other,Pakistan - Roads,hdx,ocha-pakistan,"
Roads data compiled from a variety of sources including including GPS survey and existing sources. 

",1.0,175.0,Logistics Cluster,Pakistan
4,Madagascar - Admin Level 2 Boundaries - mdg_polbnda_adm2_district_ndmo_ocha_metadata.txt,0,1,0,0,0,0.0,4.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
5,Syrian Arab Republic - Water Bodies,2,9,5,4,0,2.0,7.0,9.0,7.0,0.0,82571dcd-058b-4c85-9238-476aa6c4759d,syrian-arab-republic-water-bodies,False,"cod ,geodata ,hydrology ,lakes ,nodeid4543 ,polygon",True,None,"**Languages:** EN
",12/31/2012,43.0,Other,Syrian Arab Republic - Water Bodies,hdx,ocha-rosc,"Lakes and Rivers

Open Street Map data clipped Dec 2012



",2.0,104.0,Open Street Map,Syrian Arab Republic
6,Kazakhstan - Population Statistics 2015,1,4,1,1,0,6.0,5.0,6.0,5.0,0.0,61ae5d81-b933-4044-8f46-c26e3ead704d,kazakhstan-population-statistics-2015,False,"cod ,gender ,population ,sadd ,statistics",True,,"English names of Admin 1 is official translation from Statistics Committee whereas English names of L2 come from Wikipedia. Thus, L2 names in English is not official translation.",01/01/2015,9.0,Other,Kazakhstan - Population Statistics 2015,galiya,ocha-rocca,"This dataset contains population statistics for Kazakhstan.  It has total population segregated by gender and age groups. The datasets are on L0, L1 and L2 levels and population numbers are as of 1 January 2015. 
",1.0,113.0,Committee on Statistics of Ministry of National Economy,Kazakhstan
7,Mongolia - Railroads,2,0,1,0,0,2.0,1.0,1.0,0.0,0.0,f879e1f8-602a-436c-8a6f-5f971c8272d3,mongolia-railways,False,"cod ,geodata ,infrastructure ,lines ,nodeid4447 ,transportation",True,None,"**Languages:** EN
",01/01/2011,3.0,Other,Mongolia - Railroads,hdx,ocha-roap,This dataset represents the railroads of Mongolia.,1.0,32.0,"Mongolia Agency of Land Affairs, Construction, Geodesy, and Cartography",Mongolia
8,Chad - List of admin boundaries and populated places,0,0,0,9,0,0.0,0.0,0.0,15.0,0.0,,,,,,,,,,,,,,,,,,
9,State of Palestine  - Administrative Boundaries,0,0,0,19,0,0.0,0.0,0.0,40.0,1.0,2caf8373-816f-458c-9913-71bddb9cab7c,state-of-palestine-administrative-boundaries,True,"administrative boundaries ,cod ,geodata",True,,None,01/01/2016-01/01/2016,57.0,Other,State of Palestine  - Administrative Boundaries,yaghmour,ocha-opt,"oPt International Boundaries after 1967 war Admin COD datasets oPt endorsed by COD on January 2016; see metadata for description of cleaning and processing performed by ITOS. The dataset represents Admin Level 0 (International), Admin Level 1 (Region), Admin Level 2 (Provinces).",4.0,233.0,Palestinian Authority Ministry of Planning,State of Palestine
10,Central African Republic - Water Bodies- Rivers ( Landsat satellite images (2002-2003),1,3,2,2,1,5.0,13.0,6.0,10.0,1.0,b6faede4-74d9-45d0-b76e-1f3c4f4b6871,central-african-republic-water-bodies-0,False,"cod ,geodata ,hydrology ,lakes ,nodeid4709 ,polygon",True,None,"**Languages:** FR
",01/01/2009,6.0,Other,Central African Republic - Water Bodies- Rivers ( Landsat satellite images (2002-2003),hdx,ocha-car,"Central African republic rivers
** (FR) Cours d'eau importants de la zone d'exploitation forestière de la République centrafricaineCette couche représente les cours d'eau de largeur importante dans la région ou l'exploitation forestière se déroule (Sud-ouest de la République Centrafricaine. Elle a été générée par le PARPAF à partir d'images satellites Landsat (2002-2003) pour chaque permis et la table attributaire du fichier de la zone forestière a été renseignée grâce aux cartes topographiques 1:200,000 prodduites par l'Institut Géopraghique National (IGN) et les connaissances du terrain. Purpose: Rendu cartographique et analyse spatiale. (FR) Réseau hydrographique de la République CentrafricaineCette couche SIG représente tous les cours d'eau couvrant la République centrafricaine. Ces données sont issues de la combinaison de 2 couches SIG: les rivières de la zone forestière (PARPAF) et les rivières de la République Centrafricaine (PARN). Ce travail de rassemblement des couches et d'harmonisation a été réalisé par le Projet des Forets d'Afrique (FORAF). La couche hydrologie de la zone forestière, réalisée par Projet d'Appui à la Réalisation des Plans d'Aménagement Forestiers (PARPAF) est très détaillée : elle a été digitalisée sur images satellites Landsat (2002-2003) pour chaque permis et la table attributaire du fichier de la zone forestière a été renseignée grâce aux cartes topographiques 1:200,000 pour RCA produit par IGN et les connaissances du terrain. Il n'y a aucune information quant à la manière dont les cours d'eau de la République Centrafricaine ont été réalisés par le Projet d'Aménagement des Ressources Naturelles en République Centrafricaine (PARN) Pour plus des infos, voir le lien : 



",1.0,59.0,PARPAF,Central African Republic
11,"Turkey - Administrative Boundaries (Levels 0, 1, 2)",0,7,23,10,0,0.0,30.0,59.0,33.0,0.0,ac768a5c-db29-4872-9792-bd3179e29c45,turkey-administrative-boundaries-levels-0-1-2,True,"administrative boundaries ,cod",True,None,None,02/16/2017,1.0,Other,"Turkey - Administrative Boundaries (Levels 0, 1, 2)",helenc,rimwg-e,"Turkey - Administrative Boundaries (Levels 0, 1, 2)",1.0,41.0,General Command of Mapping,Turkey
12,Viet Nam - Airports and Airfields,0,2,0,0,0,0.0,2.0,2.0,3.0,0.0,5d885087-7ea9-486d-b45d-a8632415d405,viet-nam-aerodromes,False,"airports ,cod ,geodata ,infrastructure ,nodeid67227 ,points ,transportation",True,None,"**Languages:** EN
",03/01/2015,2.0,Other,Viet Nam - Airports and Airfields,hdx,ocha-roap,This is a national dataset of 17 airport/airfields in Viet Nam and is attributed with names in English,1.0,49.0,Global Map Data,Viet Nam
13,Population and Housing Census of Myanmar 2014,8,9,6,2,1129,29.0,28.0,23.0,18.0,4.0,1ecd28c3-e488-4afb-95bd-17b0f31bf7e0,population-and-housing-census-of-myanmar-2014,False,"cod ,population",True,,,07/16/2015,22.0,Census,Population and Housing Census of Myanmar 2014,willfrancis,mimu,"The Government of the Republic of the Union of Myanmar (Government of Myanmar) conducted its most recent Population and Housing Census in March/April 2014. The process of preparing census enumeration area maps began in June 2012. Township Immigration Officers who prepared these maps were trained on the objectives of the census, the roles of maps in the census process, concepts of sketching maps at township and ward/village tract level, and plotting new landmark features on the maps. Topographical sheets that make up the entire country were collated and maps of each of the 330 townships printed and distributed to the respective field offices. In total, there were an estimated 81,750 enumeration areas covering almost the entire country.  Some parts of the country could not be mapped due to security reasons.
The data in this file is drawn from the provisional results as made available in the Population and Housing Census of Myanmar, 2014 – Provisional Results produced by the Department of Population. This report is the first in a series of publications to be released from the 2014 Myanmar Census.
The provisional results indicate that the population of Myanmar on the night of 29th March 2014 (Census Night) was 51,419,420 persons. This information will be used as a provisional figure until the main results are released. The main results may be slightly different from the information presented in this first volume of the census results, which is normal in censuses.",1.0,395.0,Myanmar Deparment of Population,Myanmar
14,Colombia - Admin Boundaries Lines,2,1,3,2,0,8.0,2.0,5.0,4.0,0.0,030e5d0a-87f2-4ca0-a45f-fbfefee9ac77,colombia-admin-boundaries-lines,True,"administrative boundaries ,cod ,colombia",True,,"Copyright IGAC, Modificado OCHA",01/01/2009,0.0,Other,Colombia - Admin Boundaries Lines,liliana_carvajal,ocha-colombia,"
Admin COD datasets endorsed by OCHA Colombia on December 2015; see metadata for description of cleaning and processing performed by ITOS. Colombia Administrative Boundaries Lines.

",1.0,68.0,Instituto Geográfico Agustín Codazzi. IGAC (Colombia),Colombia
15,Uganda - Admin Level 6 Boundaries,14,24,16,11,0,37.0,39.0,38.0,15.0,0.0,2595da7b-a3b9-4a35-a288-24e1c0a7b323,uganda-admin-level-6-boundaries,True,"administrative boundaries ,cod ,geodata ,nodeid4083 ,polygon",True,None,"**Most Recent Changes:** Some new districts created and parish boundaries changed in 2010



**Languages:** EN
",01/01/2010,42.0,Other,Uganda - Admin Level 6 Boundaries,hdx,ocha-rosea,"Parish Boundary shape file - Admin Level 6: based on 2006 data provided by Ugandan Bureau of Statistics (UBOS), Government of Uganda. Agreed to share publicly and authorized by Geo-IM Working group chaired by UBOS and UNOCHA as Secretariat. The dataset has been updated recently as Government of Uganda changed Admin boundaries to create some new districts in 2010.

",1.0,305.0,Ugandan Bureau of Statistics (UBOS),Uganda
16,Uganda - Admin Level 6 Boundaries,14,24,16,11,0,37.0,39.0,38.0,15.0,0.0,5ebd6596-f066-450a-94eb-d4024aaebeee,uganda-admin-level-6-boundaries-0,True,"administrative boundaries ,cod ,geodata ,nodeid4227 ,points",True,None,"**Languages:** EN
",01/01/2006,16.0,Other,Uganda - Admin Level 6 Boundaries,hdx,ocha-rosea,"Uganda Parish Location shape file -Admin Level 6: based on 2006 data provided by Ugandan Bureau of Statistics (UBOS), Government of Uganda. Agreed to share publicly and authorized by Geo-IM Working group chaired by UBOS and UNOCHA as Secretariat.
",1.0,174.0,Ugandan Bureau of Statistics (UBOS),Uganda
17,Bangladesh - Waterbodies,0,6,7,7,0,9.0,6.0,26.0,19.0,0.0,26f813b8-e3b3-4e2c-87e8-59eb19af09b5,bangladesh-water-bodies,False,"cod ,geodata ,hydrology ,lakes ,nodeid4309 ,polygon",True,None,"**Languages:** EN
",01/01/2000,0.0,Other,Bangladesh - Waterbodies,hdx,ocha-roap,"The original source of the data is Local Government Engineering Department (LGED) of Bangladesh. Dataset updated by WFP, Map Action and OCHA. ",2.0,141.0,Local Government Engineering Department (LGED),Bangladesh
18,Sri Lanka - Admin Level 3 Boundaries with Census 2012 (Polygon),2,2,7,5,0,5.0,5.0,9.0,6.0,0.0,fa50efee-3fd9-412c-99e1-3a8b8759299e,sri-lanka-admin-level-3-boundaries,True,"administrative boundaries ,cod ,geodata ,nodeid3905 ,polygon",True,None,"**Languages:** EN
",06/30/2015,0.0,Other,Sri Lanka - Admin Level 3 Boundaries with Census 2012 (Polygon),hdx,ocha-roap,"This data set include Sri Lanka census of population and housing 2012 including population projection up to 2022 with sex age, ethnic and religion dis-aggregated data up to DS divisional level (3th Admin) level . This data set is shared by Disaster Management Centre of Sri Lanka during the 2016 flood response only for humanitarian response/agency purposes. Data set cleaned and updated by WFP, Map Action and OCHA.",1.0,100.0,"The Survey Department of Sri Lanka, National Building Research Organisation (NBRO), Disaster Management Centre (DMC)",Sri Lanka
19,South Sudan - Administrative Boundaries,74,133,161,127,1,122.0,240.0,253.0,245.0,5.0,cdd62bd9-e442-4eac-9b44-cfee8bf79153,south-sudan-administrative-boundaries,True,"administrative boundaries ,cod ,geodata ,lines ,nodeid4729 ,polygon",True,None,"**Most Recent Changes:** List of Admin level 3 (Payams) added.
Updated the Pcodes to be consistent with those in current use.
**Languages:** EN


**Instructions:** **Pcodes used by National Bureau of Statistics:** For Admin level 1 (State), refer field named 'Stcde13'; For Admin level 2 (County), refer field names 'Ctycde13'; For Admin level 3 (Payams), refer field named 'Payam code'. **Disputed area**: 1. Abyei region is included in Adm level 2 (Ctycde - 2101). For representation on map, Abyei region boundary should be dotted and fill colour should be the same as neighbouring countries. 2. Undetermined boundary (between South Sudan and Sudan) - For map representation, use as dashed line. Abyei region dotted line should be on top. 3. Undetermined boundary (Illemi triangle, between Kenya and South Sudan) - For map representation, two sides of the triangle within South Sudan should be dashed. Third side which borders Kenya should be solid.
",02/16/2016,206.0,Other,South Sudan - Administrative Boundaries,ayubg,ocha-south-sudan,"Administrative boundaries (Level 1 - States),  (Level 2 - Counties including disputed Abyei region) and Undetermined boundary lines. Digitised from Russian Topo maps 200k (1970). Also includes a list of Admin level 3 - Payams. 
Data source: South Sudan Inter Cluster Information Management Working Group (ICIWG), National Bureau of Statistics (NBS) and OCHA. 
PCodes and cleaned by OCHA and ITOS.",6.0,1082.0,"South Sudan Inter Cluster Information Management Working Group (ICIWG), National Bureau of Statistics (NBS), and OCHA. ",South Sudan
20,Ethiopia - Administrative Boundaries(Level 0 - 3) - eth_admbnda_adm1_csa_20160121.zip,1,0,0,0,0,3.0,0.0,0.0,0.0,0.0,,,,,,,,,,,,,,,,,,
21,Sudan -  Airfields,0,4,6,1,0,0.0,8.0,6.0,5.0,0.0,442c76db-9ece-400a-b7cd-9b9dc4cf9d39,sudan-aerodromes,False,"airports ,cod ,geodata ,infrastructure ,nodeid3835 ,points ,transportation",True,None,"**Languages:** EN
",01/01/2004,20.0,Other,Sudan -  Airfields,hdx,ocha-sudan,Relief airfields throughout Sudan.,2.0,54.0,UNDP,Sudan
22,Zimbabwe - Elevation Model,0,4,3,3,0,0.0,4.0,7.0,6.0,0.0,9948307c-73c0-4b48-b036-5b5372f6a71e,zimbabwe-elevation-model,False,"cod ,elevation ,geodata ,hypsography ,nodeid4247 ,raster ,terrain",True,None,"**Languages:** EN
",12/31/2001,4.0,Other,Zimbabwe - Elevation Model,hdx,ocha-rosa,"Zimbabwe DEM tiles from SRTM Gtopo30

",1.0,104.0,CGIAR Consortium for Spatial Information (CGIAR-CSI),Zimbabwe
23,Congo - Settlements,2,7,5,9,0,15.0,6.0,10.0,13.0,0.0,99b2fbfe-c8bc-4eb9-ae2c-c86cd9b7080a,congo-settlements,False,"cod ,geodata ,nodeid67672 ,points ,populated places ,settlements",True,None,"**Most Recent Changes:** Adding columns: Rowca Pcode, HRname, HRpcode, Hrparent for the settlements. The rowcapcode is a harmonized Pcode, The HRpcode is a unique code that will allow files extracted from the humanitarianresponse.info platform to be joined to these spatial files.


10 August 2015: Link from OCHA ROWCA geonode.



**Languages:** EN
",06/11/2014,16.0,Other,Congo - Settlements,hdx,ocha-rowca,"Settlements of Congo with administrative Class (eg: 1=Country capital, 2=Department capital, 3=District capital…)

The dataset represents the settlements of Congo with harmonized PCODE of ROWCA and Humanitarian Response pcodes",2.0,155.0,National Geospatial-Intelligence Agency (NGA),Congo
24,kenya-admin-level-3-wards,0,0,16,11,0,0.0,0.0,36.0,21.0,0.0,db0ba5f4-cd9a-4512-b9ca-3c79f59fed08,kenya-admin-level-3-wards,True,"administrative boundaries ,geodata ,polygon",False,None,"This dataset is not an official administrative layer from the authorities.

The boundaries and names shown and the designations used on this map do not imply official endorsement or acceptance by the United Nations.
",01/01/2016,0.0,Other,kenya-admin-level-3-wards,ayubg,ocha-rosea,This is Kenya Wards administrative. The dataset was digitized from a digital PDF  maps by FAO Kenya,1.0,26.0,FAO,Kenya
25,Namibia - Admin Level 1 Boundaries,0,2,3,1,0,1.0,3.0,4.0,4.0,0.0,50fda5c8-bc93-48e7-b542-f123b2038350,namibia-admin-level-1-boundaries,True,"administrative boundaries ,cod ,geodata ,nodeid4496 ,polygon",True,None,"**Languages:** EN
",01/01/2011,2.0,Other,Namibia - Admin Level 1 Boundaries,hdx,ocha-rosa,"Region Boundaries (Administrative Boundaries Level 1) from [Namibia Statistics Agency](http://www.nsa.org.na/54/8/Spatial-Data---Surveys--Cartography-and-Regional-Affairs)

",1.0,74.0,Namibia Statistics Agency (NSA),Namibia
26,Kenya - Railways Network,1,5,2,2,1,5.0,7.0,7.0,9.0,2.0,952f7dde-ddfd-4ca8-a184-b0f18f32003d,kenya-railways,False,"cod ,geodata ,infrastructure ,lines ,nodeid4013 ,transportation",True,None,"**Languages:** EN
",01/01/2004,5.0,Other,Kenya - Railways Network,hdx,ocha-rosea,"Kenyan Railway line
Railroads data is from WFP last updated 2004

",1.0,110.0,World Food Programme (WFP),Kenya
27,Nigeria - Independent National Electoral Commission - LGA and Wards,25,15,9,2,0,54.0,45.0,48.0,8.0,0.0,fc4ef79b-5f80-4ead-9632-d5add9b6155b,nigeria-independent-national-electoral-commission-lga-and-wards,False,"admin names ,lga ,nigeria ,ward",False,None,None,01/03/2017,0.0,Registry,Nigeria - Independent National Electoral Commission - LGA and Wards,assefay,ocha-nigeria,Nigeria - LGA and Wards data for some of the states based on electoral registration points. ,1.0,154.0,Nigeria - Independent National Electoral Commission,Nigeria
28,South Sudan - Roads,13,6,30,15,0,28.0,9.0,38.0,14.0,0.0,28ac2a8b-9e64-446f-b02e-a4a62c5caf37,south-sudan-roads,False,"cod ,geodata ,infrastructure ,lines ,nodeid4178 ,transportation",True,None,"**Languages:** EN
",12/05/2012,63.0,Other,South Sudan - Roads,hdx,ocha-south-sudan,"Roads network in South Sudan maintained by the Logistics cluster. Main roads for South Sudan. Importance of roads, source of data, data quality...",1.0,119.0,WFP  Global Logistics Cluster,South Sudan
29,Greece - Administrative Boundaries,7,9,1,3,0,9.0,17.0,2.0,5.0,0.0,17e2fc83-e58b-494a-bb18-83df4bb0529e,gree,True,"administrative boundaries ,cod ,geodata",True,,This product includes Intellectual Property from European National Mapping and Cadastral Authorities and is licensed on behalf of these by EuroGeographics. Original product is available for free at www.eurogeographics.org Terms of the licence available at http://www.eurogeographics.org/form/topographic-data-eurogeographics,07/12/2016,1.0,Other,Greece - Administrative Boundaries,helenc,rimwg-e,"Administrative Boundary dataset (shapefiles and spreadsheets) for Greece (levels 0,1,2 & Sea Areas)",2.0,164.0,EuroGeoGraphics,Greece
